Garbage Type,Location,Coordinates,Timestamp
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 16:58:26
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 16:58:30
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 17:00:40
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 17:00:45
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 17:00:46
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-13 17:01:02
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:51
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:52
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:54
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:55
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:56
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:00:58
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:00
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:01
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:02
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:03
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:07
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:09
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:12
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:01:19
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:14:33
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:17:58
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:17:59
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:00
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:02
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:03
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:04
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:06
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:07
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:08
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:10
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:15
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:16
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:17
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:19
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:20
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:18:21
